,close,Company,Date
75295,78.169998,VRTX,2014-02-06
75296,81.410004,VRTX,2014-02-07
75297,82.169998,VRTX,2014-02-10
75298,84.980003,VRTX,2014-02-11
75299,83.900002,VRTX,2014-02-12
75300,85.0,VRTX,2014-02-13
75301,81.610001,VRTX,2014-02-14
75302,82.0,VRTX,2014-02-18
75303,82.599998,VRTX,2014-02-19
75304,84.010002,VRTX,2014-02-20
75305,84.809998,VRTX,2014-02-21
75306,83.949997,VRTX,2014-02-24
75307,84.620003,VRTX,2014-02-25
75308,83.949997,VRTX,2014-02-26
75309,83.160004,VRTX,2014-02-27
75310,80.860001,VRTX,2014-02-28
75311,81.559998,VRTX,2014-03-03
75312,83.120003,VRTX,2014-03-04
75313,82.959999,VRTX,2014-03-05
75314,79.940002,VRTX,2014-03-06
75315,79.940002,VRTX,2014-03-07
75316,79.650002,VRTX,2014-03-10
75317,79.190002,VRTX,2014-03-11
75318,79.870003,VRTX,2014-03-12
75319,77.860001,VRTX,2014-03-13
75320,78.32,VRTX,2014-03-14
75321,77.699997,VRTX,2014-03-17
75322,79.0,VRTX,2014-03-18
75323,77.800003,VRTX,2014-03-19
75324,77.769997,VRTX,2014-03-20
75325,73.830002,VRTX,2014-03-21
75326,72.440002,VRTX,2014-03-24
75327,71.900002,VRTX,2014-03-25
75328,70.440002,VRTX,2014-03-26
75329,70.779999,VRTX,2014-03-27
75330,67.800003,VRTX,2014-03-28
75331,70.720001,VRTX,2014-03-31
75332,123.07,VRTX,2015-01-02
75333,121.029999,VRTX,2015-01-05
75334,117.360001,VRTX,2015-01-06
75335,120.660004,VRTX,2015-01-07
75336,123.970001,VRTX,2015-01-08
75337,122.209999,VRTX,2015-01-09
75338,118.309998,VRTX,2015-01-12
75339,120.599998,VRTX,2015-01-13
75340,120.379997,VRTX,2015-01-14
75341,117.779999,VRTX,2015-01-15
75342,122.860001,VRTX,2015-01-16
75343,124.739998,VRTX,2015-01-20
75344,125.089996,VRTX,2015-01-21
75345,127.300003,VRTX,2015-01-22
75346,125.57,VRTX,2015-01-23
75347,125.120003,VRTX,2015-01-26
75348,123.669998,VRTX,2015-01-27
75349,121.260002,VRTX,2015-01-28
75350,114.139999,VRTX,2015-01-29
75351,110.139999,VRTX,2015-01-30
